address,latitude,longitude
84 MASPETH AVENUE,40.71614848,-73.93889961
37-043 95 STREET,40.74987179,-73.87195412
149-043 9 AVENUE,40.79305402,-73.81598839
187 SCHOONER STREET,40.5892041,-73.80032017
135 WEED AVENUE,40.56438025,-74.10674662
30-057 CRESCENT STREET,40.76700968,-73.92574941
30-049 CRESCENT STREET,40.76736306,-73.92558356
168 STERLING PLACE,40.67658954,-73.97258812
84 MASPETH AVENUE,40.71617572,-73.93879367
148 88 STREET,40.6229315,-74.03561585
290 WILD AVENUE,40.58673966,-74.19203342
119 CLARKE AVENUE,40.56568979,-74.1355379
112 82 ROAD,40.71114167,-73.82995957
89-024 69 ROAD,40.71168941,-73.85433781
225-020 145 AVENUE,40.66254271,-73.75330961
1442 EAST 15 STREET,40.61448155,-73.95943233
463 OLD MILL ROAD,40.55800478,-74.1136482
123 THOLLEN STREET,40.55468089,-74.13241115
2509 HUGHES AVENUE,40.85769656,-73.88483261
154 VERMONT STREET,40.67627565,-73.89507172
180 HOSMER AVENUE,40.81253313,-73.8259055
18-037 119 STREET,40.78206616,-73.84859214
35-035 LEVERICH STREET,40.74993285,-73.89493181
162-027 87 STREET,40.65247207,-73.84394365
22-025 21 STREET,40.77974844,-73.91731395
145-016 226 STREET,40.66222882,-73.75351201
238 BEACH 132 STREET,40.57600229,-73.85092149
4342 DE REIMER AVENUE,40.89816116,-73.84458532
35-037 LEVERICH STREET,40.74982113,-73.89479404
131 PRINCE STREET,40.7255632,-74.00038146
32-032 38 STREET,40.75855494,-73.9205117
30-035 CRESCENT STREET,40.76746569,-73.9255354
73-022 178 STREET,40.72977798,-73.79154491
168 STERLING PLACE,40.67661072,-73.97264151
23-003 31 AVENUE,40.76680986,-73.92840051
84 MASPETH AVENUE,40.7160347,-73.93934218
150 88 STREET,40.62290838,-74.03551814
32-048 45 STREET,40.75596352,-73.91599545
181 8 AVENUE,40.67085037,-73.97486092
443 CYRUS PLACE,40.85877351,-73.89198571
13-007 CROSS BAY BOULEVARD,40.60344142,-73.82015475
52 BOWERY,40.71580677,-73.99632576
61 ROSWELL AVENUE,40.59009748,-74.18980696
89-010 247 STREET,40.72700814,-73.72132863
314 WOODWARD AVENUE,40.70971384,-73.91399097
480 GREELEY AVENUE,40.57226376,-74.09844649
112 82 ROAD,40.71111371,-73.83000313
177 JUSTIN AVENUE,40.5544529,-74.13270921
101 WYCKOFF AVENUE,40.70467939,-73.91972425
225-019 145 ROAD,40.66192479,-73.75370806
57-010 LAWRENCE STREET,40.7471054,-73.8331873
100 ELMBANK STREET,40.53021684,-74.16275367
217-026 CORBETT ROAD,40.76996317,-73.76625477
123-030 83 AVENUE,40.71118666,-73.8273357
1061 39 STREET,40.64364945,-73.99116802
